,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('42311', 'Automobile and Other Motor Vehicle Merchant Wholesalers')",42311,Automobile and Other Motor Vehicle Merchant Wholesalers,3208.97,1.0,8,19526,22599,335408,16144216,882442482,0.00956736273434,0.0238515479655,0.40112125
"('423110', 'Automobile and Other Motor Vehicle Merchant Wholesalers')",423110,Automobile and Other Motor Vehicle Merchant Wholesalers,302.86,1.0,84,19526,22599,335408,16144216,882442482,0.000902959977103,0.250441253637,0.00360547619048
"('42312', 'Motor Vehicle Supplies and New Parts Merchant Wholesalers')",42312,Motor Vehicle Supplies and New Parts Merchant Wholesalers,1214.9,3.0,15,35186,46061,528376,21975229,339811542,0.00229930958257,0.0283888745893,0.0809933333333
"('423120', 'Motor Vehicle Supplies and New Parts Merchant Wholesalers')",423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,887.41,1.0,41,35186,46061,528376,21975229,339811542,0.00167950474662,0.0775962572108,0.0216441463415
"('42313', 'Tire and Tube Merchant Wholesalers')",42313,Tire and Tube Merchant Wholesalers,6112.175,4.0,8,4912,7411,90069,3779031,60038339,0.0678610287668,0.0888207929476,0.764021875
"('423130', 'Tire and Tube Merchant Wholesalers')",423130,Tire and Tube Merchant Wholesalers,3444.72,1.0,29,4912,7411,90069,3779031,60038339,0.0382453452353,0.321975374435,0.118783448276
"('42314', 'Motor Vehicle Parts (Used) Merchant Wholesalers')",42314,Motor Vehicle Parts (Used) Merchant Wholesalers,15546.56,3.0,5,7673,8085,49778,1513854,9997775,0.312317891438,0.100445980152,3.109312
"('423140', 'Motor Vehicle Parts (Used) Merchant Wholesalers')",423140,Motor Vehicle Parts (Used) Merchant Wholesalers,1090.28,1.0,34,7673,8085,49778,1513854,9997775,0.021902848648,0.683032665033,0.0320670588235
"('4232', 'Furniture and Home Furnishing Merchant Wholesalers')",4232,Furniture and Home Furnishing Merchant Wholesalers,10960.0,1.0,8,41687,46679,481844,22716352,233777670,0.0227459509717,0.0166028839209,1.37
"('42321', 'Furniture Merchant Wholesalers')",42321,Furniture Merchant Wholesalers,272.0,1.0,3,18408,20272,200842,9680811,104292322,0.00135429840372,0.0149371147469,0.0906666666667
"('423210', 'Furniture Merchant Wholesalers')",423210,Furniture Merchant Wholesalers,1168.7,2.0,35,18408,20272,200842,9680811,104292322,0.00581900200157,0.174266338714,0.0333914285714
"('42322', 'Home Furnishing Merchant Wholesalers')",42322,Home Furnishing Merchant Wholesalers,1271.975,2.5,10,23296,26407,281002,13035541,129485348,0.00452656920591,0.0355869353243,0.1271975
"('423220', 'Home Furnishing Merchant Wholesalers')",423220,Home Furnishing Merchant Wholesalers,3027.69,3.0,54,23296,26407,281002,13035541,129485348,0.0107746208212,0.192169450751,0.0560683333333
"('4233', 'Lumber and Other Construction Materials Merchant Wholesalers')",4233,Lumber and Other Construction Materials Merchant Wholesalers,2546.86,1.5,20,48540,64647,753778,35391637,427453718,0.00337879322559,0.0265330110457,0.127343
"('42331', 'Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers')",42331,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",0.0,0.0,16,23569,29362,408211,18857592,245841729,,0.0391954160961,
"('423310', 'Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers')",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",0.0,0.0,96,23569,29362,408211,18857592,245841729,,0.235172496577,
"('42332', 'Brick, Stone, and Related Construction Material Merchant Wholesalers')",42332,"Brick, Stone, and Related Construction Material Merchant Wholesalers",0.0,0.0,11,11958,14966,131004,6026951,73342387,,0.083966901774,
"('423320', 'Brick, Stone, and Related Construction Material Merchant Wholesalers')",423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",1920.1,3.0,65,11958,14966,131004,6026951,73342387,0.0146568043724,0.496168055937,0.02954
"('42333', 'Roofing, Siding, and Insulation Material Merchant Wholesalers')",42333,"Roofing, Siding, and Insulation Material Merchant Wholesalers",0.0,0.0,15,4247,8393,92027,4772088,57015868,,0.162995642583,
"('423330', 'Roofing, Siding, and Insulation Material Merchant Wholesalers')",423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",967.56,2.0,35,4247,8393,92027,4772088,57015868,0.0105138709292,0.380323166027,0.0276445714286
"('42339', 'Other Construction Material Merchant Wholesalers')",42339,Other Construction Material Merchant Wholesalers,0.0,0.0,12,9206,11926,122536,5735006,51253734,,0.0979304041261,
"('423390', 'Other Construction Material Merchant Wholesalers')",423390,Other Construction Material Merchant Wholesalers,8.76,1.0,43,9206,11926,122536,5735006,51253734,7.14891950121e-05,0.350917281452,0.000203720930233
"('4234', 'Professional and Commercial Equipment and Supplies Merchant Wholesalers')",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,2932.01,1.0,6,100653,123193,1813982,122145609,1045864105,0.00161633908164,0.00330764031837,0.488668333333
"('423410', 'Photographic Equipment and Supplies Merchant Wholesalers')",423410,Photographic Equipment and Supplies Merchant Wholesalers,31921.46,7.0,1,3038,3393,36575,2398407,30103235,0.872767190704,0.0273410799727,31.92146
"('42342', 'Office Equipment Merchant Wholesalers')",42342,Office Equipment Merchant Wholesalers,36.22,0.5,8,11789,20641,352615,17361483,88571221,0.000102718262127,0.0226876338216,0.0045275
"('423420', 'Office Equipment Merchant Wholesalers')",423420,Office Equipment Merchant Wholesalers,1215.82,2.0,26,11789,20641,352615,17361483,88571221,0.00344800986912,0.0737348099202,0.0467623076923
"('42343', 'Computer and Computer Peripheral Equipment and Software Merchant Wholesalers')",42343,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,7801.26,5.0,25,31099,38112,691215,56417431,533113522,0.0112863002105,0.0361681965814,0.3120504
"('423430', 'Computer and Computer Peripheral Equipment and Software Merchant Wholesalers')",423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,729.82,1.0,41,31099,38112,691215,56417431,533113522,0.00105585092916,0.0593158423935,0.0178004878049
"('42344', 'Other Commercial Equipment Merchant Wholesalers')",42344,Other Commercial Equipment Merchant Wholesalers,99.135,0.5,4,15128,16578,158469,7280114,62202129,0.00062557976639,0.0252415298891,0.02478375
"('423440', 'Other Commercial Equipment Merchant Wholesalers')",423440,Other Commercial Equipment Merchant Wholesalers,8409.14,6.0,21,15128,16578,158469,7280114,62202129,0.053064889663,0.132518031918,0.400435238095
"('42345', 'Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers')",42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",927.76,2.0,41,27710,30962,403919,29862225,247870016,0.00229689615987,0.101505499865,0.0226282926829
"('423450', 'Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers')",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",849.36,1.0,153,27710,30962,403919,29862225,247870016,0.00210279783818,0.37878881657,0.00555137254902
"('42346', 'Ophthalmic Goods Merchant Wholesalers')",42346,Ophthalmic Goods Merchant Wholesalers,0.0,0.0,1,4320,4779,62888,2674669,22043018,,0.0159012848238,
"('42349', 'Other Professional Equipment and Supplies Merchant Wholesalers')",42349,Other Professional Equipment and Supplies Merchant Wholesalers,370.5,2.0,3,7804,8728,99511,5466919,49484511,0.00372320647969,0.0301474208881,0.1235
"('423490', 'Other Professional Equipment and Supplies Merchant Wholesalers')",423490,Other Professional Equipment and Supplies Merchant Wholesalers,648.46,1.0,17,7804,8728,99511,5466919,49484511,0.00651646551638,0.170835385033,0.0381447058824
"('4235', 'Metal and Mineral (except Petroleum) Merchant Wholesalers')",4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,20535.34,17.0,1,27619,35579,455846,26609291,555378060,0.0450488542183,0.00219372331884,20.53534
"('42351', 'Metal Service Centers and Other Metal Merchant Wholesalers')",42351,Metal Service Centers and Other Metal Merchant Wholesalers,0.0,0.0,7,26169,33907,444451,25550071,507919126,,0.0157497676909,
"('423510', 'Metal Service Centers and Other Metal Merchant Wholesalers')",423510,Metal Service Centers and Other Metal Merchant Wholesalers,571.69,1.0,29,26169,33907,444451,25550071,507919126,0.00128628352732,0.0652490375767,0.0197134482759
"('423520', 'Coal and Other Mineral and Ore Merchant Wholesalers')",423520,Coal and Other Mineral and Ore Merchant Wholesalers,0.0,0.0,2,1472,1672,11395,1059220,47458934,,0.175515577007,
"('4236', 'Electrical and Electronic Goods Merchant Wholesalers')",4236,Electrical and Electronic Goods Merchant Wholesalers,12019.4,10.5,4,75540,98499,1226371,87790391,1033246047,0.00980078622211,0.00326165573061,3.00485
"('42361', 'Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers')",42361,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",837.95,0.5,8,29793,41534,453013,26675262,287139878,0.0018497261668,0.0176595373643,0.10474375
"('423610', 'Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers')",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",854.37,1.0,66,29793,41534,453013,26675262,287139878,0.00188597236724,0.145691183255,0.012945
"('42362', 'Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers')",42362,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",208225.03,28.5,2,8812,10331,122840,7137018,205566551,1.69509141973,0.0162813415825,104.112515
"('423620', 'Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers')",423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",4051.58,1.0,5,8812,10331,122840,7137018,205566551,0.0329825789645,0.0407033539564,0.810316
"('42369', 'Other Electronic Parts and Equipment Merchant Wholesalers')",42369,Other Electronic Parts and Equipment Merchant Wholesalers,68546.21,12.0,6,37262,46634,650518,53978111,540539618,0.105371734525,0.00922341887542,11.4243683333
"('423690', 'Other Electronic Parts and Equipment Merchant Wholesalers')",423690,Other Electronic Parts and Equipment Merchant Wholesalers,706.64,2.0,25,37262,46634,650518,53978111,540539618,0.00108627278569,0.0384309119809,0.0282656
"('4237', 'Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers')",4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",2004.87,2.0,16,42606,64305,668086,34081920,326316438,0.00300091604973,0.0239490125523,0.125304375
"('42371', 'Hardware Merchant Wholesalers')",42371,Hardware Merchant Wholesalers,0.0,0.0,6,18434,23774,248872,11971034,107519005,,0.02410877881,
"('423710', 'Hardware Merchant Wholesalers')",423710,Hardware Merchant Wholesalers,1177.58,3.0,12,18434,23774,248872,11971034,107519005,0.00473166929184,0.04821755762,0.0981316666667
"('42372', 'Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers')",42372,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,11008.47,4.0,22,12007,19132,184235,9659863,92538063,0.0597523271908,0.119412706598,0.500385
"('423720', 'Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers')",423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,5467.55,1.5,36,12007,19132,184235,9659863,92538063,0.0296770429072,0.195402610796,0.151876388889
"('42373', 'Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers')",42373,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,0.0,0.0,14,9541,16809,159140,8642747,87017025,,0.0879728540907,
"('423730', 'Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers')",423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,4078.3,4.0,47,9541,16809,159140,8642747,87017025,0.0256271207742,0.295337438733,0.0867723404255
"('42374', 'Refrigeration Equipment and Supplies Merchant Wholesalers')",42374,Refrigeration Equipment and Supplies Merchant Wholesalers,32358.96,7.0,5,2953,4590,41184,2069860,17796008,0.785716783217,0.121406371406,6.471792
"('423740', 'Refrigeration Equipment and Supplies Merchant Wholesalers')",423740,Refrigeration Equipment and Supplies Merchant Wholesalers,4408.705,6.0,14,2953,4590,41184,2069860,17796008,0.10704897533,0.339937839938,0.3149075
"('4238', 'Machinery, Equipment, and Supplies Merchant Wholesalers')",4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",2071.88,0.5,6,164288,207513,2160682,115932200,1168440534,0.000958900939611,0.002776900997,0.345313333333
"('42381', 'Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers')",42381,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,3222.76,2.5,2,11786,16778,266314,15330909,173900574,0.0121013540407,0.00750993188492,1.61138
"('423810', 'Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers')",423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,0.0,0.0,27,11786,16778,266314,15330909,173900574,,0.101384080446,
"('42382', 'Farm and Garden Machinery and Equipment Merchant Wholesalers')",42382,Farm and Garden Machinery and Equipment Merchant Wholesalers,1680.1,1.0,5,24220,29867,313882,12493777,161237521,0.00535264844751,0.0159295531442,0.33602
"('423820', 'Farm and Garden Machinery and Equipment Merchant Wholesalers')",423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,62.09,0.5,34,24220,29867,313882,12493777,161237521,0.000197813190944,0.10832096138,0.00182617647059
"('42383', 'Industrial Machinery and Equipment Merchant Wholesalers')",42383,Industrial Machinery and Equipment Merchant Wholesalers,1895.43,1.0,6,79139,96721,970463,56235385,471441432,0.0019531192843,0.00618261592662,0.315905
"('423830', 'Industrial Machinery and Equipment Merchant Wholesalers')",423830,Industrial Machinery and Equipment Merchant Wholesalers,1520.72,2.0,45,79139,96721,970463,56235385,471441432,0.00156700461532,0.0463696194497,0.0337937777778
"('42384', 'Industrial Supplies Merchant Wholesalers')",42384,Industrial Supplies Merchant Wholesalers,5173.22,5.0,7,26404,36065,328434,17355804,188133739,0.0157511707071,0.0213132623297,0.739031428571
"('423840', 'Industrial Supplies Merchant Wholesalers')",423840,Industrial Supplies Merchant Wholesalers,524.48,1.0,23,26404,36065,328434,17355804,188133739,0.00159691140381,0.0700292905119,0.0228034782609
"('42385', 'Service Establishment Equipment and Supplies Merchant Wholesalers')",42385,Service Establishment Equipment and Supplies Merchant Wholesalers,800.205,2.0,8,14784,18084,165844,7228665,61693546,0.00482504642917,0.0482381032778,0.100025625
"('423850', 'Service Establishment Equipment and Supplies Merchant Wholesalers')",423850,Service Establishment Equipment and Supplies Merchant Wholesalers,1532.64,3.0,47,14784,18084,165844,7228665,61693546,0.00924145582596,0.283398856757,0.0326093617021
"('42386', 'Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers')",42386,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,0.0,0.0,6,9108,9998,115745,7287660,112033722,,0.0518380923582,
"('423860', 'Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers')",423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,1067.375,2.5,14,9108,9998,115745,7287660,112033722,0.00922178063847,0.120955548836,0.0762410714286
"('4239', 'Miscellaneous Durable Goods Merchant Wholesalers')",4239,Miscellaneous Durable Goods Merchant Wholesalers,2144.63,3.5,28,120518,129370,1077587,49033921,697484232,0.0019902151752,0.0259839808758,0.0765939285714
"('42391', 'Sporting and Recreational Goods and Supplies Merchant Wholesalers')",42391,Sporting and Recreational Goods and Supplies Merchant Wholesalers,3003.59,3.5,6,18154,19695,167572,7572967,95834774,0.0179241758766,0.0358055044996,0.500598333333
"('423910', 'Sporting and Recreational Goods and Supplies Merchant Wholesalers')",423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,4220.5,4.5,24,18154,19695,167572,7572967,95834774,0.0251861886234,0.143222017998,0.175854166667
"('42392', 'Toy and Hobby Goods and Supplies Merchant Wholesalers')",42392,Toy and Hobby Goods and Supplies Merchant Wholesalers,4184.76,2.0,5,8786,9237,95766,4683566,63534131,0.043697763298,0.0522105966627,0.836952
"('423920', 'Toy and Hobby Goods and Supplies Merchant Wholesalers')",423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,2754.54,3.0,11,8786,9237,95766,4683566,63534131,0.0287632353863,0.114863312658,0.250412727273
